transaction_id,customer_id,segment,sku,product_name,category,supplier,quantity,base_price,unit_price,total_amount,discount_pct,date,month,quarter,payment_terms,source
TXN-000011,CUST-0079,biotech_startup,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,17,202.4,187.17,3181.9,11.93,2024-11-01,11,Q4,NET15,real_market_simulation
TXN-000012,CUST-0090,pharma_enterprise,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Thermo Fisher,100,230.51,202.65,20264.98,2.32,2024-12-04,12,Q4,NET45,real_market_simulation
TXN-000013,CUST-0105,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,100,202.4,169.42,16942.26,6.99,2024-12-22,12,Q4,NET45,real_market_simulation
TXN-000014,CUST-0104,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,100,202.4,197.81,19781.16,6.92,2024-08-15,8,Q3,NET45,real_market_simulation
TXN-000015,CUST-0029,academic_research,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Cayman Chemical,12,261.78,232.56,2790.72,15.39,2024-11-10,11,Q4,NET30,real_market_simulation
TXN-000016,CUST-0177,government_lab,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,65,116.34,114.14,7419.39,10.81,2025-02-14,2,Q1,NET60,real_market_simulation
TXN-000017,CUST-0032,academic_research,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,11,140.2,123.2,1355.19,16.31,2024-11-26,11,Q4,NET30,real_market_simulation
TXN-000018,CUST-0078,biotech_startup,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,42,345.39,284.98,11969.29,8.32,2025-05-13,5,Q2,NET15,real_market_simulation
TXN-000019,CUST-0051,biotech_startup,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,44,227.38,223.8,9847.16,6.26,2024-11-26,11,Q4,NET15,real_market_simulation
TXN-000020,CUST-0150,pharma_enterprise,CHEM-439155,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoi",organic_chemicals,VWR,100,240.78,208.34,20833.82,8.92,2025-04-27,4,Q2,NET45,real_market_simulation
TXN-000021,CUST-0097,pharma_enterprise,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,100,288.91,333.62,33362.04,3.77,2025-03-30,3,Q1,NET45,real_market_simulation
TXN-000022,CUST-0022,academic_research,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,9,318.62,274.46,2470.14,17.96,2024-11-15,11,Q4,NET30,real_market_simulation
TXN-000023,CUST-0078,biotech_startup,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,57,140.2,132.69,7563.29,9.86,2024-11-04,11,Q4,NET15,real_market_simulation
TXN-000024,CUST-0173,government_lab,CHEM-5282102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]ox",specialty_chemicals,Sigma-Aldrich,95,278.86,227.04,21568.61,9.54,2025-05-20,5,Q2,NET60,real_market_simulation
TXN-000025,CUST-0070,biotech_startup,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,28,207.5,239.36,6701.94,7.72,2024-09-03,9,Q3,NET15,real_market_simulation
TXN-000026,CUST-0153,pharma_enterprise,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,VWR,100,211.9,233.48,23347.82,4.19,2025-01-25,1,Q1,NET45,real_market_simulation
TXN-000027,CUST-0037,academic_research,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,4,345.39,279.91,1119.63,14.69,2025-07-18,7,Q3,NET30,real_market_simulation
TXN-000028,CUST-0084,biotech_startup,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,65,227.38,207.86,13511.01,12.94,2024-11-25,11,Q4,NET15,real_market_simulation
TXN-000029,CUST-0158,government_lab,CHEM-439155,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoi",organic_chemicals,VWR,100,240.78,194.23,19423.0,15.09,2025-04-01,4,Q2,NET60,real_market_simulation
TXN-000030,CUST-0047,academic_research,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Thermo Fisher,5,230.51,223.75,1118.74,15.59,2024-10-19,10,Q4,NET30,real_market_simulation
TXN-000031,CUST-0176,government_lab,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,VWR,100,107.42,84.55,8455.12,12.54,2024-12-15,12,Q4,NET60,real_market_simulation
TXN-000032,CUST-0026,academic_research,CHEM-5362129,"(2S,3aS,6aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-3,3a,4,5,6,6a-hexah",organic_chemicals,Merck,15,248.4,188.85,2832.73,19.97,2025-04-16,4,Q2,NET30,real_market_simulation
TXN-000033,CUST-0135,pharma_enterprise,CHEM-5359596,arsenic,specialty_chemicals,Cayman Chemical,100,85.09,87.98,8797.95,1.53,2024-08-28,8,Q3,NET45,real_market_simulation
TXN-000034,CUST-0090,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,100,259.51,240.11,24011.16,2.61,2025-07-04,7,Q3,NET45,real_market_simulation
TXN-000035,CUST-0008,academic_research,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,18,203.74,148.84,2679.14,18.83,2025-05-17,5,Q2,NET30,real_market_simulation
TXN-000036,CUST-0032,academic_research,CHEM-2519,"1,3,7-trimethylpurine-2,6-dione",specialty_chemicals,Sigma-Aldrich,6,122.05,121.03,726.16,17.37,2025-03-07,3,Q1,NET30,real_market_simulation
TXN-000037,CUST-0165,government_lab,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Cayman Chemical,50,261.78,286.8,14339.82,12.35,2024-09-12,9,Q3,NET60,real_market_simulation
TXN-000038,CUST-0083,biotech_startup,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,50,288.91,300.84,15042.08,9.45,2024-10-12,10,Q4,NET15,real_market_simulation
TXN-000039,CUST-0007,academic_research,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,15,207.5,224.79,3371.92,13.33,2024-09-07,9,Q3,NET30,real_market_simulation
TXN-000040,CUST-0028,academic_research,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,13,116.34,91.04,1183.57,13.05,2024-12-21,12,Q4,NET30,real_market_simulation
TXN-000041,CUST-0163,government_lab,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,100,318.62,353.1,35310.24,11.34,2024-09-16,9,Q3,NET60,real_market_simulation
TXN-000042,CUST-0099,pharma_enterprise,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,100,140.2,118.43,11843.09,6.14,2024-12-15,12,Q4,NET45,real_market_simulation
TXN-000043,CUST-0150,pharma_enterprise,CHEM-2519,"1,3,7-trimethylpurine-2,6-dione",specialty_chemicals,Sigma-Aldrich,100,122.05,132.19,13218.75,1.54,2025-02-21,2,Q1,NET45,real_market_simulation
TXN-000044,CUST-0070,biotech_startup,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,55,227.38,205.27,11289.73,4.97,2025-04-23,4,Q2,NET15,real_market_simulation
TXN-000045,CUST-0006,academic_research,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,2,345.39,341.85,683.7,17.52,2025-03-30,3,Q1,NET30,real_market_simulation
TXN-000046,CUST-0197,contract_research,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,100,140.2,133.58,13358.05,13.38,2025-02-28,2,Q1,NET30,real_market_simulation
TXN-000047,CUST-0099,pharma_enterprise,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,100,288.91,292.35,29234.81,3.63,2024-11-16,11,Q4,NET45,real_market_simulation
TXN-000048,CUST-0140,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,100,202.4,170.46,17046.49,6.42,2025-05-14,5,Q2,NET45,real_market_simulation
TXN-000049,CUST-0059,biotech_startup,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,93,140.2,152.71,14202.0,9.23,2025-03-12,3,Q1,NET15,real_market_simulation
TXN-000050,CUST-0172,government_lab,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,70,207.5,205.19,14363.28,14.01,2025-01-02,1,Q1,NET60,real_market_simulation
TXN-000051,CUST-0015,academic_research,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Cayman Chemical,6,261.78,235.83,1414.97,14.2,2024-08-17,8,Q3,NET30,real_market_simulation
TXN-000052,CUST-0191,contract_research,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,100,227.38,253.14,25314.34,10.94,2024-09-18,9,Q3,NET30,real_market_simulation
TXN-000053,CUST-0048,academic_research,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,VWR,7,211.9,161.05,1127.32,15.55,2025-05-15,5,Q2,NET30,real_market_simulation
TXN-000054,CUST-0124,pharma_enterprise,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,100,318.62,316.74,31674.36,5.32,2024-08-28,8,Q3,NET45,real_market_simulation
TXN-000055,CUST-0160,government_lab,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,VWR,100,107.42,84.65,8465.16,12.44,2024-12-11,12,Q4,NET60,real_market_simulation
TXN-000056,CUST-0160,government_lab,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,100,116.34,111.04,11104.44,9.1,2024-11-28,11,Q4,NET60,real_market_simulation
TXN-000057,CUST-0046,academic_research,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,VWR,13,211.9,150.83,1960.75,16.26,2025-06-30,6,Q2,NET30,real_market_simulation
TXN-000058,CUST-0077,biotech_startup,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,23,116.34,94.88,2182.23,14.15,2025-07-31,7,Q3,NET15,real_market_simulation
TXN-000059,CUST-0002,academic_research,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Thermo Fisher,12,230.51,183.47,2201.68,16.22,2025-04-05,4,Q2,NET30,real_market_simulation
TXN-000060,CUST-0040,academic_research,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,7,318.62,353.6,2475.19,11.22,2024-09-02,9,Q3,NET30,real_market_simulation
TXN-000061,CUST-0128,pharma_enterprise,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,100,207.5,198.95,19895.06,8.69,2024-11-19,11,Q4,NET45,real_market_simulation
TXN-000062,CUST-0129,pharma_enterprise,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,100,288.91,333.61,33361.28,3.77,2025-03-06,3,Q1,NET45,real_market_simulation
TXN-000063,CUST-0161,government_lab,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,53,227.38,179.72,9525.26,12.18,2025-05-28,5,Q2,NET60,real_market_simulation
TXN-000064,CUST-0179,government_lab,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,100,203.74,182.71,18271.11,5.6,2025-04-22,4,Q2,NET60,real_market_simulation
TXN-000065,CUST-0110,pharma_enterprise,CHEM-2519,"1,3,7-trimethylpurine-2,6-dione",specialty_chemicals,Sigma-Aldrich,100,122.05,144.63,14463.47,1.25,2025-03-04,3,Q1,NET45,real_market_simulation
TXN-000066,CUST-0108,pharma_enterprise,CHEM-5282102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]ox",specialty_chemicals,Sigma-Aldrich,100,278.86,304.39,30438.91,5.08,2025-01-04,1,Q1,NET45,real_market_simulation
TXN-000067,CUST-0164,government_lab,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,100,202.4,161.32,16131.73,11.44,2024-12-08,12,Q4,NET60,real_market_simulation
TXN-000068,CUST-0191,contract_research,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,100,140.2,142.36,14236.37,3.29,2024-11-20,11,Q4,NET30,real_market_simulation
TXN-000069,CUST-0187,contract_research,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,100,116.34,97.63,9763.06,6.76,2024-12-09,12,Q4,NET30,real_market_simulation
TXN-000070,CUST-0141,pharma_enterprise,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,100,288.91,320.09,32009.32,7.67,2025-03-14,3,Q1,NET45,real_market_simulation
TXN-000071,CUST-0128,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,100,259.51,281.83,28182.76,9.5,2025-03-16,3,Q1,NET45,real_market_simulation
TXN-000072,CUST-0099,pharma_enterprise,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,100,203.74,212.25,21224.68,5.3,2025-02-05,2,Q1,NET45,real_market_simulation
TXN-000073,CUST-0114,pharma_enterprise,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,VWR,100,107.42,88.61,8861.34,8.34,2025-05-05,5,Q2,NET45,real_market_simulation
TXN-000074,CUST-0100,pharma_enterprise,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Cayman Chemical,100,261.78,234.09,23409.17,5.87,2025-07-25,7,Q3,NET45,real_market_simulation
TXN-000075,CUST-0137,pharma_enterprise,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Merck,100,140.2,133.19,13319.0,0.0,2025-07-24,7,Q3,NET45,real_market_simulation
TXN-000076,CUST-0132,pharma_enterprise,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,100,207.5,228.25,22825.0,0.0,2025-02-25,2,Q1,NET45,real_market_simulation
TXN-000077,CUST-0040,academic_research,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,4,203.74,202.09,808.34,17.34,2025-03-23,3,Q1,NET30,real_market_simulation
TXN-000078,CUST-0150,pharma_enterprise,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,100,345.39,318.18,31817.88,3.03,2025-07-04,7,Q3,NET45,real_market_simulation
TXN-000079,CUST-0110,pharma_enterprise,CHEM-5282102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]ox",specialty_chemicals,Sigma-Aldrich,100,278.86,248.35,24835.45,6.25,2025-04-05,4,Q2,NET45,real_market_simulation
TXN-000080,CUST-0173,government_lab,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,VWR,100,211.9,216.7,21670.12,11.07,2024-10-15,10,Q4,NET60,real_market_simulation
TXN-000081,CUST-0061,biotech_startup,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,83,259.51,243.32,20195.86,10.7,2024-11-19,11,Q4,NET15,real_market_simulation
TXN-000082,CUST-0092,pharma_enterprise,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,100,116.34,99.22,9922.17,5.24,2025-05-10,5,Q2,NET45,real_market_simulation
TXN-000083,CUST-0028,academic_research,CHEM-2519,"1,3,7-trimethylpurine-2,6-dione",specialty_chemicals,Sigma-Aldrich,23,122.05,120.23,2765.22,17.91,2025-03-13,3,Q1,NET30,real_market_simulation
TXN-000084,CUST-0132,pharma_enterprise,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,100,345.39,315.29,31528.68,3.91,2025-04-07,4,Q2,NET45,real_market_simulation
TXN-000085,CUST-0017,academic_research,CHEM-439155,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoi",organic_chemicals,VWR,12,240.78,241.93,2903.16,19.62,2024-09-04,9,Q3,NET30,real_market_simulation
TXN-000086,CUST-0005,academic_research,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,12,259.51,229.36,2752.29,15.83,2024-11-01,11,Q4,NET30,real_market_simulation
TXN-000087,CUST-0159,government_lab,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,100,203.74,160.72,16072.35,12.35,2024-12-26,12,Q4,NET60,real_market_simulation
TXN-000088,CUST-0159,government_lab,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,VWR,100,107.42,100.45,10044.67,10.94,2024-08-18,8,Q3,NET60,real_market_simulation
TXN-000089,CUST-0003,academic_research,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,5,318.62,283.92,1419.6,15.13,2024-11-22,11,Q4,NET30,real_market_simulation
TXN-000090,CUST-0092,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,100,259.51,232.38,23238.06,5.74,2025-04-23,4,Q2,NET45,real_market_simulation
TXN-000091,CUST-0108,pharma_enterprise,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Cayman Chemical,100,261.78,209.84,20983.81,5.7,2025-06-11,6,Q2,NET45,real_market_simulation
TXN-000092,CUST-0068,biotech_startup,CHEM-135398633,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ",specialty_chemicals,VWR,17,288.91,217.0,3688.92,11.64,2025-06-13,6,Q2,NET15,real_market_simulation
TXN-000093,CUST-0147,pharma_enterprise,CHEM-3364,"6-[[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-a",organic_chemicals,Cayman Chemical,100,312.91,262.0,26200.06,1.49,2025-06-14,6,Q2,NET45,real_market_simulation
TXN-000094,CUST-0125,pharma_enterprise,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,100,345.39,397.2,39719.85,0.0,2024-10-30,10,Q4,NET45,real_market_simulation
TXN-000095,CUST-0049,academic_research,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,VWR,18,211.9,169.85,3057.25,10.94,2025-05-08,5,Q2,NET30,real_market_simulation
TXN-000096,CUST-0118,pharma_enterprise,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,Thermo Fisher,100,345.39,293.2,29319.73,5.68,2024-12-30,12,Q4,NET45,real_market_simulation
TXN-000097,CUST-0193,contract_research,CHEM-5282102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]ox",specialty_chemicals,Sigma-Aldrich,100,278.86,321.56,32155.51,7.75,2024-09-08,9,Q3,NET30,real_market_simulation
TXN-000098,CUST-0133,pharma_enterprise,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,100,318.62,267.3,26730.03,6.79,2025-05-11,5,Q2,NET45,real_market_simulation
TXN-000099,CUST-0128,pharma_enterprise,CHEM-2519,"1,3,7-trimethylpurine-2,6-dione",specialty_chemicals,Sigma-Aldrich,100,122.05,144.72,14471.7,5.14,2024-09-13,9,Q3,NET45,real_market_simulation
TXN-000100,CUST-0076,biotech_startup,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Thermo Fisher,54,230.51,218.27,11786.34,9.82,2024-11-14,11,Q4,NET15,real_market_simulation
