transaction_id,date,customer_id,segment,sku,product_name,category,supplier,quantity,unit_price,base_price,total_amount,weight_kg,hs_code,country_of_origin,is_real_product
LS000120,2023-10-08,BIO4336,Biotech Startup,TF3875089,Sorvall LYNX 4000 Superspeed Centrifuge - Clinical,lab_equipment,Thermo Fisher Scientific,1,38786.94,42973.01,38786.94,109.786,9027.80.45,USA,True
LS000121,2025-05-23,GOV6968,Government Lab,TF2085129,SuperScript IV Reverse Transcriptase - Educational,reagents,Thermo Fisher Scientific,1,360.65,458.28,360.65,0.128,3822.00.10,USA,True
LS000122,2023-10-31,PHA8245,Pharma Enterprise,TF6113092,EVOS M5000 Imaging System - Educational,lab_equipment,Thermo Fisher Scientific,50,32428.12,32113.39,1621405.84,561.25,9027.80.45,USA,True
LS000123,2025-04-15,CRO4447,CRO,BR8293758,Criterion TGX Precast Gels Starter Pack,lab_equipment,Bio-Rad,25,82.37,92.35,2059.15,4.25,9027.80.45,USA,True
LS000124,2023-12-29,PHA6696,Pharma Enterprise,TF3946117,Nunc 96-Well Polystyrene Plates - Educational,consumables,Thermo Fisher Scientific,50,147.26,148.83,7362.86,8.200000000000001,3926.90.99,USA,True
LS000125,2024-09-30,GOV7210,Government Lab,TF3010566,Matrix 2D Barcoded Tubes - Clinical,consumables,Thermo Fisher Scientific,1,200.03,228.74,200.03,0.342,3926.90.99,USA,True
LS000126,2024-06-19,CRO9753,CRO,TF3812018,MaxQ 4000 Benchtop Orbital Shaker - Educational,lab_equipment,Thermo Fisher Scientific,5,2651.97,2722.37,13259.86,146.57,9027.80.45,USA,True
LS000127,2024-09-17,RES3320,Research Institute,TF3010566,Matrix 2D Barcoded Tubes - Clinical,consumables,Thermo Fisher Scientific,2,214.46,228.74,428.92,0.684,3926.90.99,USA,True
LS000128,2024-03-10,CRO5422,CRO,P9416-1G,Tween 20 - BioReagent - 1g,reagents,Sigma-Aldrich,100,138.23,153.78,13823.15,0.1,3822.00.10,Germany,True
LS000129,2025-01-31,ACA8191,Academic,TF3946117,Nunc 96-Well Polystyrene Plates - Educational,consumables,Thermo Fisher Scientific,3,121.42,148.83,364.26,0.492,3926.90.99,USA,True
LS000130,2023-09-15,ACA8532,Academic,TF6113092,EVOS M5000 Imaging System - Educational,lab_equipment,Thermo Fisher Scientific,1,27604.23,32113.39,27604.23,11.225,9027.80.45,USA,True
LS000131,2024-09-05,GOV8715,Government Lab,BR2495631,ChemiDoc MP Imaging System Educational,lab_equipment,Bio-Rad,2,34820.58,39583.38,69641.15,50.18,9027.80.45,USA,True
LS000132,2025-06-27,BIO4130,Biotech Startup,T6508-100G,Trifluoroacetic acid - ReagentPlus® - 100g,chemicals,Sigma-Aldrich,2,3559.75,3626.69,7119.5,0.2,2905.11.00,Germany,True
LS000133,2025-06-10,BIO6580,Biotech Startup,TF9842274,Lipofectamine 3000 Transfection Reagent - Bulk,reagents,Thermo Fisher Scientific,1,375.94,420.82,375.94,0.171,3822.00.10,USA,True
LS000134,2025-08-01,GOV6792,Government Lab,TF2085129,SuperScript IV Reverse Transcriptase - Educational,reagents,Thermo Fisher Scientific,2,385.28,458.28,770.57,0.256,3822.00.10,USA,True
LS000135,2023-10-20,PHA1137,Pharma Enterprise,TF4141212,Nunc 96-Well Polystyrene Plates - Educational,consumables,Thermo Fisher Scientific,25,118.21,114.87,2955.13,5.975,3926.90.99,USA,True
LS000136,2023-10-20,CRO9274,CRO,TF5949424,Sorvall LYNX 4000 Superspeed Centrifuge - Standard,lab_equipment,Thermo Fisher Scientific,100,36103.99,38586.24,3610398.7,11107.599999999999,9027.80.45,USA,True
LS000137,2023-12-21,GOV3110,Government Lab,EP149797,Research plus Pipette 0.1-2.5 µL - Standard,lab_equipment,Eppendorf,3,234.24,285.0,702.72,0.30000000000000004,9027.80.45,Germany,True
LS000138,2024-03-04,RES4947,Research Institute,TF7514832,SuperScript IV Reverse Transcriptase - Research,reagents,Thermo Fisher Scientific,2,413.24,459.77,826.47,0.18,3822.00.10,USA,True
